Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35.1,0.7999999999999972,0.20000000000000284,0.0,0.0,0.0,0.0,0.0
35.2,0.5999999999999943,0.4000000000000057,0.0,0.0,0.0,0.0,0.0
35.3,0.4000000000000057,0.5999999999999943,0.0,0.0,0.0,0.0,0.0
35.4,0.20000000000000284,0.7999999999999972,0.0,0.0,0.0,0.0,0.0
35.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.1,0.0,0.5000000000000071,0.5000000000000071,0.0,0.0,0.0,0.0
36.2,0.0,0.0,1.0000000000000142,0.0,0.0,0.0,0.0
36.3,0.0,0.0,1.0,0.3333333333333144,0.0,0.0,0.0
36.4,0.0,0.0,1.0,0.6666666666666525,0.0,0.0,0.0
36.5,0.0,0.0,1.0,0.9999999999999906,0.0,0.0,0.0
36.6,0.0,0.0,0.6666666666666525,1.0,0.0,0.0,0.0
36.7,0.0,0.0,0.3333333333333144,1.0,0.0,0.0,0.0
36.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37.9,0.0,0.0,0.0,0.5000000000000071,0.5000000000000071,0.0,0.0
38.0,0.0,0.0,0.0,0.0,1.0000000000000142,0.0,0.0
38.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.3,0.0,0.0,0.0,0.0,0.6666666666666762,0.3333333333333144,0.0
38.4,0.0,0.0,0.0,0.0,0.3333333333333381,0.6666666666666525,0.0
38.5,0.0,0.0,0.0,0.0,0.0,0.9999999999999906,0.0
38.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.1,0.0,0.0,0.0,0.0,0.0,0.7999999999999972,0.20000000000000284
39.2,0.0,0.0,0.0,0.0,0.0,0.5999999999999943,0.4000000000000057
39.3,0.0,0.0,0.0,0.0,0.0,0.4000000000000057,0.5999999999999943
39.4,0.0,0.0,0.0,0.0,0.0,0.20000000000000284,0.7999999999999972
39.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
