Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
21,0.8606817435605169,0.10119868691040712,0.028421269492845604,0.009698300036230428
22,0.8161762840679694,0.13604359003691385,0.03604290686588124,0.011737219029235463
23,0.7637416581980101,0.17694948752600945,0.045170556641539655,0.014138297634440859
24,0.7039833046353182,0.2231037324319763,0.055961792454565784,0.016951170478139724
25,0.6381031429537054,0.2731105586742851,0.0685569604088121,0.020229337963197362
26,0.5678466794086203,0.325053338316533,0.08307006769175244,0.024029914583094187
27,0.4953707958351843,0.3766366140454811,0.09957933549884881,0.028413254620485804
28,0.4230478077839994,0.42539180390468395,0.11811794247474447,0.03344244583657217
29,0.3532350471930432,0.4689167313922875,0.13866555672841804,0.03918266468625122
30,0.28804686570349447,0.5051114567790898,0.16114128728624794,0.04570039023116777
31,0.22916541316472405,0.5323734377639396,0.18539867085645542,0.05306247821488088
32,0.17771797604418982,0.5497236802345036,0.21122324210402038,0.06133510161728621
33,0.13423447156357704,0.5568498438251541,0.23833311532774687,0.07058256928352193
34,0.0986827307039706,0.5540683914989342,0.266382838046662,0.08086603975043327
35,0.07056548869251089,0.5422217848158406,0.29497057353131434,0.09224215296033422
36,0.04905451600585975,0.5225354306613899,0.32364844541491183,0.10476160791783862
37,0.033135257848429966,0.49646137080034586,0.35193565209865696,0.11846771925256722
38,0.02173903299836455,0.46553222520960713,0.37933375195883523,0.1333949898331931
39,0.013847260521603455,0.43124164797838704,0.40534335172221,0.14956773977779952
40,0.008560819194154967,0.3949590305541245,0.4294813160671563,0.16699883418456424
41,0.005135291063373737,0.3578785886668393,0.4512975678054104,0.18568855246437654
42,0.002988118919048377,0.32099767009512026,0.4703905698429412,0.20562364114289017
43,0.0016862078090391641,0.28511653234413536,0.4864206705201065,0.22677658932671896
44,0.0009225990890987523,0.25085159501085863,0.499120644216815,0.2491051616832276
45,0.000489352220275685,0.2186554749891969,0.508302954959033,0.27255221783149436
46,0.0002515724408476139,0.18883909402018295,0.5138634939077615,0.29704583963120784
47,0.00012533468575226525,0.16159311416588062,0.5157817719348262,0.3224997792135409
48,6.050433376525444e-05,0.13700749837847304,0.5141177662651545,0.3488142310226072
49,2.829793364922395e-05,0.11508897295477549,0.5090058081242004,0.37587692098737485
50,1.282115445944143e-05,0.095776639910647,0.5006460433093394,0.40356449562555424
51,5.626772475508801e-06,0.0789560978092807,0.4892940915966774,0.4317441838215664
52,2.3917239050375017e-06,0.06447234221610976,0.47524957140784935,0.46027569465213586
53,9.845673348829465e-07,0.052141563150224446,0.45884414591445494,0.48901330636798573
54,3.9249026828613864e-07,0.04176181984649463,0.4404296928134136,0.5178080948498235
55,1.5150630283677913e-07,0.03312249113280041,0.42036711251006487,0.5465102448508319
56,5.662688074004052e-08,0.026012378849827544,0.39901618017646434,0.5749713843468274
57,2.0491737751093808e-08,0.020226369941330313,0.3767267280891138,0.6030468814778182
58,7.179187355710326e-09,0.015570621173600196,0.35383132672737316,0.6305980449198393
59,2.4349504634813e-09,0.011866300266397345,0.33063952528799656,0.6574941720106556
60,7.994714890102728e-10,0.008951983828086374,0.3074336209666325,0.6836143944058096
61,2.540943011553054e-10,0.006684866245441401,0.2844658552885724,0.7088492782118919
62,7.817158031997451e-11,0.004940969714938626,0.2619568861009236,0.7331021441059662
63,2.327815717961812e-11,0.0036145628714165934,0.24009535458454012,0.7562900825207651
64,6.709299782414746e-12,0.0026169956180993603,0.21903835523984172,0.7783446491353496
65,1.871613974913089e-12,0.0018751440619197979,0.19891261970896534,0.7992122362272432
66,5.053735208093713e-13,0.0013296359170696936,0.1798162385923635,0.8188541254900614
67,1.3200551762793111e-13,0.0009329974178753364,0.16182076527646372,0.8372462373055289
68,3.341771304121721e-14,0.0006478313209248299,0.14497356884497303,0.8543785998340687
69,8.215650382226158e-15,0.0004451049182583322,0.1293003267108811,0.8702545683708524
70,1.887379141862766e-15,0.0003025992523323362,0.11480756975204387,0.8848898309956219
71,4.440892098500626e-16,0.00020354723075910464,0.10148521227283647,0.898311240496404
72,1.1102230246251565e-16,0.00013546967617539263,0.08930901550100367,0.9105555148228208
73,0.0,8.920452980976101e-05,0.07824294651427366,0.9216678489559166
74,0.0,5.811505956887508e-05,0.06824140476918261,0.9317004801712485
75,0.0,3.7457353720737885e-05,0.05925129626233838,0.9407112463839409
76,0.0,2.3884841537702428e-05,0.05121394134907942,0.9487621738093829
77,0.0,1.5067294747206361e-05,0.04406680691021092,0.9559181257950419
78,0.0,9.403015116760116e-06,0.03774505734577893,0.9622455396391043
79,0.0,5.805099490108212e-06,0.032182922125272406,0.9678112727752375
80,0.0,3.5453170009747126e-06,0.027314880558420906,0.9726815741245781
81,0.0,2.14188402769544e-06,0.02307666718641821,0.9769211909295541
82,0.0,1.2800451467676055e-06,0.019406103762464322,0.9805926161923889
83,0.0,7.567221043114358e-07,0.016243766167486573,0.9837554771104091
84,0.0,4.425099376925701e-07,0.013533496733644124,0.9864660607564182
85,0.0,2.5596412733808194e-07,0.011222774256072321,0.9887769697798003
86,0.0,1.4645322388151527e-07,0.0092629553999235,0.9907368981468526
87,0.0,8.288521902155566e-08,0.007609402210450145,0.9923905149043308
88,0.0,4.63989753285432e-08,0.00622151098766166,0.993778442613363
89,0.0,2.5691408112038516e-08,0.0050626578982759796,0.9949373164103159
90,0.0,1.4070545839572901e-08,0.0041000763940405305,0.9958999095354136
91,0.0,7.62207152948946e-09,0.003304680834168683,0.9966953115437598
92,0.0,4.083850702052416e-09,0.0026508497318598057,0.9973491461842895
93,0.0,2.164199819354451e-09,0.0021161808302233576,0.9978838170055768
94,0.0,1.1343619377157665e-09,0.0016812288339307369,0.9983187700317073
95,0.0,5.880699260885081e-10,0.0013292351502208755,0.9986707642617092
96,0.0,3.0152669250327335e-10,0.001045857491531188,0.9989541422069421
97,0.0,1.5291090615932035e-10,0.0008189057186718252,0.9991810941284173
98,0.0,7.66945396080132e-11,0.0006380889047055138,0.9993619110186
99,0.0,3.8045122607854864e-11,0.0004947773113386233,0.9995052226506163
100,0.0,1.8665624601510444e-11,0.0003817818167051179,0.9996182181646293
