Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,1.0,3.453661597809848e-17,2.0016479887025236e-35,0.0,1.1935855193321873e-22,9.442610236367696e-34,1.0701481443537448e-43
1,0.9999999999999999,8.81967293813468e-17,1.1039275987826743e-34,0.0,2.20400901887369e-22,2.1309717241518138e-33,2.748235404563155e-43
2,0.9999999999999998,2.224852995236327e-16,5.974220697918991e-34,0.0,4.0540317037305745e-22,4.7875304046196345e-33,7.0252277674323785e-43
3,0.9999999999999994,5.544063138326102e-16,3.1725676506869565e-33,0.0,7.428054353245089e-22,1.070764047103604e-32,1.7875715742167917e-42
4,0.9999999999999987,1.3646929757363699e-15,1.653220158229181e-32,0.0,1.3557430275394633e-21,2.3841003886771388e-32,4.5275486309227754e-42
5,0.9999999999999967,3.3183614960657514e-15,8.453604330662329e-32,0.0,2.4648714812352856e-21,5.284500784802385e-32,1.141457021236676e-41
6,0.999999999999992,7.970700152778097e-15,4.241757743958491e-31,0.0,4.464018623372264e-21,1.166090386827225e-31,2.8645266330650917e-41
7,0.9999999999999811,1.8912783580048637e-14,2.088545135621252e-30,0.0,8.053279282538348e-21,2.561588919531278e-31,7.155551828757654e-41
8,0.9999999999999557,4.433052676132133e-14,1.0091072220830928e-29,0.0,1.4472208136521676e-20,5.601905578820823e-31,1.7792233650253478e-40
9,0.9999999999998973,1.0264578767189742e-13,4.7844017765723694e-29,0.0,2.5906715287302368e-20,1.2195831570454473e-30,4.403672345773077e-40
10,0.9999999999997652,2.347862233615137e-13,2.225954771378463e-28,0.0,4.619613676351296e-20,2.6432393843052815e-30,1.0849177554345803e-39
11,0.9999999999994695,5.305176829625706e-13,1.0162602301714641e-27,0.0,8.205687309493619e-20,5.703102584099519e-30,2.660578285222573e-39
12,0.9999999999988158,1.184201307308477e-12,4.552972426081814e-27,0.0,1.4519127446740827e-19,1.224998745571872e-29,6.494605683271026e-39
13,0.9999999999973888,2.6112736048744224e-12,2.0016505305239779e-26,0.0,2.559072412431037e-19,2.6194495987249154e-29,1.578073295856966e-38
14,0.9999999999943117,5.688310067352096e-12,8.63547736576752e-26,0.0,4.493051492846041e-19,5.576151470823564e-29,3.8167991546482053e-38
15,0.9999999999877589,1.2241120605809372e-11,3.655872816069503e-25,0.0,7.858094454358867e-19,1.1817057967663895e-28,9.189022552326063e-38
16,0.9999999999739763,2.6023712188636398e-11,1.5188129256952181e-24,0.0,1.3690218872073081e-18,2.493070927039077e-28,2.2021014459706197e-37
17,0.9999999999453449,5.465510493325709e-11,6.19195627802425e-24,0.0,2.375861452202425e-18,5.236131532680187e-28,5.252952146626212e-37
18,0.999999999886601,1.1339895116142026e-10,2.4772158829215782e-23,0.0,4.1072362538487025e-18,1.0948063040385373e-27,1.2472910600434585e-36
19,0.9999999997675617,2.3243831679149644e-10,9.725552308037082e-23,0.0,7.072881765887728e-18,2.2788463627900648e-27,2.9480208053927043e-36
20,0.9999999995293148,4.706851602850457e-10,3.7469792018731127e-22,0.0,1.2132814106889053e-17,4.722195996858322e-27,6.935723597250837e-36
21,0.9999999990583678,9.416321636514274e-10,1.4166648368188478e-21,0.0,2.073220138193689e-17,9.741467126395352e-27,1.6242453785572623e-35
22,0.9999999981389239,1.8610761054402798e-09,5.256226765286909e-21,0.0,3.528972933559217e-17,2.000581852937643e-26,3.7862585279604587e-35
23,0.9999999963660134,3.633986609750838e-09,1.913835644022623e-20,0.0,5.98371058622481e-17,4.090157919164233e-26,8.785526371073937e-35
24,0.9999999929895914,7.0104085602812685e-09,6.838506602934476e-20,0.0,1.0106772557571294e-16,8.324838686430468e-26,2.029197616163207e-34
25,0.9999999866386959,1.3361304040708531e-08,2.397985844326032e-19,0.0,1.700491197601047e-16,1.686800745171496e-25,4.665305351110777e-34
26,0.999999974840338,2.5159662006117755e-08,8.252079640807632e-19,0.0,2.850077021969084e-16,3.402547211460276e-25,1.0676652819040816e-33
27,0.9999999531924003,4.680759967904051e-08,2.7868559083292183e-18,0.0,4.758383651874761e-16,6.8327757747847955e-25,2.4321459155918765e-33
28,0.9999999139622611,8.603773897235487e-08,9.236403749060484e-18,0.0,7.91376784536654e-16,1.3659758807285501e-24,5.514977419553418e-33
29,0.9999998437469965,1.5625300353468926e-07,3.004219831928734e-17,0.0,1.3110779125916313e-15,2.7185790692687102e-24,1.24479434032761e-32
30,0.9999997196241883,2.8037581152801765e-07,9.589681191488087e-17,0.0,2.163691797216882e-15,5.38634553658736e-24,2.7967353842539003e-32
31,0.9999995029136552,4.970863444587797e-07,3.004164394995095e-16,0.0,3.557004092427841e-15,1.0624291709606347e-23,6.254681628614155e-32
32,0.9999991292190523,8.707809467707666e-07,9.236211009459452e-16,0.0,5.824997907774094e-15,2.086217259744294e-23,1.3923847405552465e-31
33,0.9999984927723933,1.507227603965097e-06,2.7868805393996776e-15,0.0,9.502327782964708e-15,4.0782429430607157e-23,3.085415634672254e-31
34,0.999997422201133,2.5777988588039977e-06,8.252796213076014e-15,0.0,1.5441427839675343e-14,7.936717266084598e-23,6.8056346688663895e-31
35,0.9999956436042067,4.356395769307195e-06,2.3985360262714113e-14,0.0,2.4995885093294017e-14,1.5376703219943337e-22,1.4942535216584778e-30
36,0.9999927251835853,7.274816346299576e-06,6.841605417617112e-14,0.0,4.0306362379059914e-14,2.965789453448645e-22,3.2657340202665304e-30
37,0.9999879955594603,1.2004440348168415e-05,1.9153183153666427e-13,0.0,6.474453709285656e-14,5.694720606235364e-22,7.104579348672204e-30
38,0.9999804252476546,1.957475181907831e-05,5.262593176633486e-13,0.0,1.0359946695149165e-13,1.0885786502684884e-21,1.5384987107517722e-29
39,0.9999684575858383,3.154241274246862e-05,1.4191866331262328e-12,0.0,1.6513427092836022e-13,2.071585005663462e-21,3.3163265565633983e-29
40,0.999949771718849,5.0228277394595135e-05,3.75634385332343e-12,0.0,2.6220601707791707e-13,3.92465545527481e-21,7.115722513175017e-29
41,0.9999209562556648,7.904373457673148e-05,9.758493952304661e-12,0.0,4.1473844762429085e-13,7.402125172658808e-21,1.519786085377765e-28
42,0.9998770681974153,0.00012293177770199181,2.4882710764534783e-11,0.0,6.534804696220801e-13,1.3898492963750873e-20,3.2310810622957423e-28
43,0.9998110481941735,0.00018895174355101796,6.227534568846316e-11,0.0,1.0256946146028632e-12,2.597979310603109e-20,6.8377837500102795e-28
44,0.9997129608147747,0.0002870390322414029,1.5298351184151184e-10,0.0,1.6037297097941132e-12,4.834601170247588e-20,1.4404068540499194e-27
45,0.9995690282247887,0.0004309714063260271,3.6888411434706235e-10,0.0,2.49788483387867e-12,8.956594441534726e-20,3.020351592525082e-27
46,0.9993604285773504,0.0006395705495554653,8.730906547520147e-10,0.0,3.8756298877073106e-12,1.6518962561371742e-19,6.304236918516593e-27
47,0.999061837776667,0.0009381601948911046,2.0284318183781524e-09,0.0,5.990200439987831e-12,3.0330568280054684e-19,1.3098164955308394e-26
48,0.9986397063333189,0.0013602890406991216,4.625953391115114e-09,0.0,9.222955704387975e-12,5.544170383652211e-19,2.708890783402847e-26
49,0.9980502828828669,0.0019497067610916709,1.035596111768736e-08,0.0,1.4145853321013166e-11,1.0089070631093831e-18,5.576681679908861e-26
50,0.9972374232646881,0.002762553976940481,2.27581504067077e-08,0.0,2.1613196452028094e-11,1.8277831364209263e-18,1.142782939677951e-25
51,0.996130258845972,0.0038696920569298754,4.9096500723045984e-08,0.0,3.289578473566484e-11,3.2965329708648975e-18,2.3310704082323606e-25
52,0.9946408390330517,0.00535905698738395,1.03977978628832e-07,0.0,4.987621540384892e-11,5.919019721680211e-18,4.7331580365919115e-25
