alpha,beta,gamma,auroc_obs,auroc_patient
0.1,0.5,0.1,0.6518928647855375,0.8044643107100065
0.1,0.5,0.2,0.6532489649238351,0.8054333759006866
0.1,0.5,0.3,0.6546718914657598,0.8064371305108677
0.1,0.5,0.4,0.656133788571827,0.8074259945918829
0.1,0.5,0.5,0.657597077586401,0.808317725847532
0.1,0.5,0.6,0.658980020059593,0.8090630142185815
0.1,0.5,0.7,0.6601392838567772,0.8094733636185263
0.1,0.5,0.8,0.660801175741876,0.8093874465505545
0.1,0.5,0.9,0.66041586616956,0.808606769261563
0.1,0.5,1.0,0.6577909673099583,0.8070115389024646
0.1,1.0,0.1,0.650621693534346,0.793103386927781
0.1,1.0,0.2,0.651968227536603,0.7940930046378197
0.1,1.0,0.3,0.6533750749598227,0.7951251873853407
0.1,1.0,0.4,0.6548180965448063,0.7961151866434539
0.1,1.0,0.5,0.6562600546773492,0.7970268574984127
0.1,1.0,0.6,0.6576183374391764,0.7978249944196637
0.1,1.0,0.7,0.6587498685011078,0.7983374663165389
0.1,1.0,0.8,0.6593815800735825,0.7984667490430805
0.1,1.0,0.9,0.6589679524028248,0.7981084219193928
0.1,1.0,1.0,0.656330650268385,0.7972844898669947
0.1,1.5,0.1,0.6494121545075522,0.7810109534126495
0.1,1.5,0.2,0.6507536291735789,0.7820512760178491
0.1,1.5,0.3,0.6521492437895945,0.7831589327155702
0.1,1.5,0.4,0.6535800058397204,0.7842815294539982
0.1,1.5,0.5,0.6550078948691952,0.7853534095778797
0.1,1.5,0.6,0.6563513922945496,0.7863307615957319
0.1,1.5,0.7,0.6574681595272776,0.7871479635523719
0.1,1.5,0.8,0.6580871885324048,0.7877343135016175
0.1,1.5,0.9,0.6576667813924681,0.7880774803975754
0.1,1.5,1.0,0.655043853233344,0.7883252849733897
0.1,2.0,0.1,0.6482648600077723,0.7692487112195491
0.1,2.0,0.2,0.6496034042830826,0.7704155620757652
0.1,2.0,0.3,0.6509939259444744,0.7716855907462229
0.1,2.0,0.4,0.6524192777641431,0.7729943454582976
0.1,2.0,0.5,0.6538404117577876,0.7742878319868693
0.1,2.0,0.6,0.6551776207514091,0.7755396880894154
0.1,2.0,0.7,0.6562895442417515,0.7767521598033612
0.1,2.0,0.8,0.6569076232511103,0.7779000357909273
0.1,2.0,0.9,0.6564949381179905,0.7790347625896947
0.1,2.0,1.0,0.6539018759664486,0.7804089587707801
0.1,2.5,0.1,0.6471963992040755,0.7583540749916139
0.1,2.5,0.2,0.6485291745124868,0.7596760265335074
0.1,2.5,0.3,0.649916027851912,0.7611271260480951
0.1,2.5,0.4,0.6513382929672458,0.7626267206092704
0.1,2.5,0.5,0.6527563736315973,0.7641652121547622
0.1,2.5,0.6,0.6540924864266376,0.7657364712550407
0.1,2.5,0.7,0.655206125381542,0.7673711042498609
0.1,2.5,0.8,0.6558309597792974,0.769109214571298
0.1,2.5,0.9,0.655434940232681,0.7710905468833952
0.1,2.5,1.0,0.652880688418985,0.7735511539285731
0.1,3.0,0.1,0.6461878973076305,0.7484451469324953
0.1,3.0,0.2,0.6475188596101281,0.7499562094278116
0.1,3.0,0.3,0.6489045081246763,0.7516229864068533
0.1,3.0,0.4,0.6503262591897422,0.7533443975581815
0.1,3.0,0.5,0.6517452636573478,0.7551555611850003
0.1,3.0,0.6,0.6530845828599003,0.7570701364793379
0.1,3.0,0.7,0.6542045820454284,0.7591349331485172
0.1,3.0,0.8,0.6548421626476251,0.76144689979069
0.1,3.0,0.9,0.6544697124065789,0.7641893319100315
0.1,3.0,1.0,0.6519609906366439,0.7676463662390542
0.1,3.5,0.1,0.64524043120944,0.7396277280901109
0.1,3.5,0.2,0.6465713517742606,0.7413157546819968
0.1,3.5,0.3,0.6479572536534116,0.7431937869852165
0.1,3.5,0.4,0.6493808792189675,0.7451448390771388
0.1,3.5,0.5,0.6508027729391946,0.7472364014869043
0.1,3.5,0.6,0.6521476950873637,0.7494797437207509
0.1,3.5,0.7,0.6532772490190659,0.7519361684722312
0.1,3.5,0.8,0.6539312743115018,0.7547720399017853
0.1,3.5,0.9,0.6535864215742273,0.7582250717743272
0.1,3.5,1.0,0.6511268694406416,0.7625337918367217
0.1,4.0,0.1,0.644351932026312,0.731774068572475
0.1,4.0,0.2,0.645683962135186,0.7336451030282413
0.1,4.0,0.3,0.6470716366752467,0.7357281435359929
0.1,4.0,0.4,0.6484977683478224,0.7379147624930078
0.1,4.0,0.5,0.6499241836023402,0.7402670787125272
0.1,4.0,0.6,0.6512762705158703,0.7428349201208359
0.1,4.0,0.7,0.6524173039887902,0.7456475655223366
0.1,4.0,0.8,0.6530899433660673,0.7489920121339724
0.1,4.0,0.9,0.6527748288556943,0.7530509168106644
0.1,4.0,1.0,0.6503656979544254,0.7580980048133128
0.1,4.5,0.1,0.6435122437254998,0.7247745364668448
0.1,4.5,0.2,0.644845690988377,0.7268618708124135
0.1,4.5,0.3,0.6462368902834085,0.7291574812005709
