Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1.0
