Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,0.9999999999999997,2.782760507986292e-16,5.763394028203527e-25,2.192651514010773e-31,0.0,0.0,1.248488256727526e-22
1,0.9999999999999984,1.5251976603479599e-15,4.782949419983686e-24,2.1762369624805048e-30,0.0,0.0,2.3953049681371297e-22
2,0.999999999999992,8.005159161886595e-15,3.8050630173071863e-23,2.0773659854807684e-29,0.0,0.0,4.575427711832696e-22
3,0.9999999999999598,4.0236624473176255e-14,2.9019067701515954e-22,1.9071919411475325e-28,0.0,0.0,8.701564939191067e-22
4,0.9999999999998063,1.936850468528844e-13,2.1216217481181977e-21,1.684049490757591e-27,0.0,0.0,1.647623878740505e-21
5,0.999999999999107,8.929148899763397e-13,1.487041803209962e-20,1.430207665989818e-26,0.0,0.0,3.1060904534864365e-21
6,0.9999999999960574,3.942586120964329e-12,9.992114795749064e-20,1.1682402117151473e-25,0.0,0.0,5.829961675973363e-21
7,0.9999999999833264,1.6673571242230978e-11,6.436940596298271e-19,9.178236877752047e-25,0.0,0.0,1.0894646828532188e-20
8,0.9999999999324581,6.754187921443462e-11,3.9755648254810615e-18,6.935631128766048e-24,0.0,0.0,2.0270140043089533e-20
9,0.999999999737918,2.6208202251665735e-10,2.3541029632557023e-17,5.041017301739058e-23,0.0,0.0,3.754886078321656e-20
10,0.999999999025806,9.741938253966477e-10,1.3365033311567253e-16,3.524212272108273e-22,0.0,0.0,6.9252187620062e-20
11,0.9999999965308403,3.4691590375198866e-09,7.275185164292496e-16,2.3698679790178893e-21,0.0,0.0,1.2716489669994562e-19
12,0.9999999881640543,1.1835941865375299e-08,3.7971671210912e-15,1.532891468383352e-20,0.0,0.0,2.3248680400774726e-19
13,0.999999961308708,3.869127289105378e-08,1.9003349062954815e-14,9.537425858888867e-20,0.0,0.0,4.231818191803955e-19
14,0.9999998788035274,1.2119638148021268e-07,9.1194665136663e-14,5.708095867477607e-19,0.0,0.0,7.66926318545419e-19
15,0.9999996361925982,3.638069820818451e-07,4.1965529440495843e-13,3.2862450506772033e-18,0.0,0.0,1.383816652674506e-18
16,0.9999989533533427,1.0466448054230672e-06,1.8518945637814384e-12,1.8199776179843224e-17,0.0,0.0,2.486005381073816e-18
17,0.9999971138275987,2.886164564063848e-06,7.837140752458574e-12,9.696141543746238e-17,0.0,0.0,4.44656366288952e-18
18,0.9999923706125825,7.6293556090137384e-06,3.180796181669639e-11,4.969453650296988e-16,0.0,0.0,7.918560661083783e-18
19,0.999980664314527,1.9335561656090435e-05,1.2381445620809067e-10,2.450224133300582e-15,0.0,0.0,1.4040016448478556e-17
20,0.999953011048851,4.698848887726006e-05,4.6226010282146395e-10,1.162256165342612e-14,0.0,0.0,2.478500323177999e-17
21,0.9998904860623163,0.00010951228222233756,1.655408320689395e-09,5.3040668096980465e-14,0.0,0.0,4.3562290338276264e-17
22,0.9997551724906851,0.0002448218224680558,5.686613956536973e-09,2.328843329287288e-13,0.0,0.0,7.623127226084958e-17
23,0.9994748810059555,0.0005251002534392248,1.873962143906794e-08,9.838066502603176e-13,0.0,0.0,1.328179435565744e-16
24,0.9989191566118663,0.0010807841383441356,5.924579076343984e-08,3.998826045374177e-12,0.0,0.0,2.3039966769480024e-16
25,0.9978645506290458,0.0021352696429844152,1.7971233019264173e-07,1.5639569056382867e-11,0.0,0.0,3.979319945275014e-16
26,0.9959489613235014,0.004050515548324017,5.230693167278046e-07,5.885780562466604e-11,0.0,0.0,6.842868470318211e-16
27,0.9926185631618223,0.007379975650859252,1.4609741665590508e-06,2.1315192854445784e-10,0.0,0.0,1.1715754648226248e-15
28,0.9870764975932103,0.0129195853930153,3.9162709249236616e-06,7.428494882257538e-10,0.0,0.0,1.997126223922637e-15
29,0.9782491737129563,0.021740747536260728,1.0076259282882557e-05,2.491500109731283e-09,0.0,0.0,3.3895681423831605e-15
30,0.9647915461858134,0.03518355851936324,2.488725227704413e-05,8.042546303007788e-09,0.0,0.0,5.727792556880811e-15
31,0.9451538690754248,0.054787090467574275,5.901546937619593e-05,2.4987624774618365e-08,0.0,0.0,9.636841311171403e-15
32,0.917725877397378,0.08213966845923723,0.0001343794153344142,7.472805042069342e-08,0.0,0.0,1.6143106753658278e-14
33,0.8810584629014352,0.11864745457740597,0.0002938673912696059,2.15129889228432e-07,0.0,0.0,2.6924335554311394e-14
34,0.8341394312559498,0.1652426621208756,0.0006173103979016306,5.962252730181444e-07,0.0,0.0,4.471042789204608e-14
35,0.776674837455702,0.2220776807813199,0.0012458908371113845,1.590925866683211e-06,0.0,0.0,7.392292062676303e-14
36,0.7093098469607484,0.2882695970783157,0.002416468434541418,4.087526394488024e-06,0.0,0.0,1.216904178626837e-13
37,0.6337222003518118,0.36176244122857576,0.00450524524297864,1.0113176633785882e-05,0.0,0.0,1.9945326482316408e-13
38,0.5525420054130071,0.4393575425035313,0.008076354078398705,2.4098005062801376e-05,0.0,0.0,3.254872336136519e-13
39,0.4690909041122502,0.5169283649117216,0.013925421883379134,5.5309092649010116e-05,0.0,0.0,5.288534778099061e-13
40,0.38698076647408397,0.5897950234167368,0.023101918822994033,0.00012229128618489274,0.0,0.0,8.555510592905886e-13
41,0.30965144348419527,0.6531987676621488,0.03688926553541254,0.00026052331824267855,0.0,0.0,1.3780540331030327e-12
42,0.23994477327045904,0.7027991728507234,0.05672121083697913,0.0005348430418364886,0.0,0.0,2.2100235412733083e-12
43,0.17980148941009055,0.7351203497915006,0.0840198324009622,0.0010583283974407223,0.0,0.0,3.5288931134964203e-12
44,0.13013281591806247,0.7478921825781631,0.11995605374319668,0.0020189477605612287,0.0,0.0,5.610372354921942e-12
45,0.09087188872820784,0.7402578463718292,0.16515620840254644,0.0037140564973706424,0.0,0.0,8.880902192935475e-12
46,0.06116747150494384,0.7128394649352154,0.2194026464323035,0.006590417127412083,0.0,0.0,1.3997013020795653e-11
47,0.039656306581594136,0.6676652347076647,0.2813946286027639,0.0112838301076414,0.0,0.0,2.1964797321146366e-11
48,0.02474591207160537,0.6079663612742267,0.348639554178782,0.018648172474499996,0.0,0.0,3.4318893842244216e-11
