Value,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
21,0.9942454885536327,0.0029907635145963282,0.0027498977728402227,1.385015893071559e-05
22,0.9880617775461034,0.0077354532038151685,0.004177813965606643,2.4955284474817283e-05
23,0.9753975715972606,0.018216170102944636,0.006341294145873785,4.496415392102311e-05
24,0.9499791443700948,0.04032774984250381,0.009612091174866264,8.101461253509695e-05
25,0.9009656167252948,0.08434743235515826,0.014540986252974158,0.0001459646665727882
26,0.8133611858632266,0.16444287602400273,0.02193296611572851,0.00026297199704216376
27,0.676120547834261,0.2904656039083522,0.03294011864728437,0.00047372961010245764
28,0.5,0.4499886472687683,0.04915809901767847,0.0008532537135532382
29,0.323879452165739,0.6019003437753676,0.07268384136625086,0.0015363626926425235
30,0.1866388141367734,0.7045556070208987,0.1060407282474064,0.0027648505949215293
31,0.09903438327470526,0.7441876859209301,0.1518071738821007,0.004970756922263994
32,0.0500208556299051,0.72931495649433,0.2117433098804795,0.008920877995285442
33,0.024602428402739518,0.6741154612628032,0.28532240944483805,0.015959700889619212
34,0.01193822245389664,0.591688593222727,0.3679799425016759,0.028393241821700412
35,0.005754511446367183,0.4942454885536328,0.44997914437009484,0.05002085562990517
36,0.0027648505949215973,0.3936083337284547,0.5169734803813325,0.08665333529529119
37,0.0013263463440447154,0.29995576399041257,0.5527272940691749,0.14599059559636782
38,0.000635793968395193,0.22002839390736972,0.5438518151370048,0.2354839969872303
39,0.0003046628784285632,0.1564732679259362,0.486311831824683,0.35691023737095223
40,0.0001459646665727954,0.10865961417575509,0.3911944211576721,0.5
41,6.99262160214209e-05,0.07415027784287187,0.282690033312059,0.6430897626290477
42,3.349770937721708e-05,0.04997785502185448,0.18547264425599852,0.7645160030127698
43,1.604656023901363e-05,0.0333978016971479,0.11257674733898093,0.8540094044036322
44,7.686786925198419e-06,0.022188251325845565,0.06445739718252042,0.9133466647047088
45,3.682187024289796e-06,0.01468326873252268,0.03533390471035813,0.9499791443700949
46,1.7638674165709745e-06,0.009691341919984775,0.018700136034298986,0.9716067581782997
47,8.449394703902158e-07,0.006385413360324388,0.009573442589824399,0.9840402991103808
48,4.0474831597414607e-07,0.0042023645017655875,0.004718108745203842,0.9910791220047146
49,1.9388508587514508e-07,0.002763554046684935,0.002207008990493309,0.9950292430777359
50,9.287604396668314e-08,0.0018164534599124371,0.0009483042589651935,0.9972351494050784
51,4.449005985840415e-08,0.0011935400303675348,0.0003427781722152856,0.9984636373073573
52,2.131190446341691e-08,0.0007840705298322037,6.916187181649214e-05,0.9991467462864468
53,1.0208960676827417e-08,0.0005150044738739812,0.0,0.9994849853171653
54,4.890359672771183e-09,0.000338240708392723,0.0,0.9996617544012476
55,2.342610327943362e-09,0.0002221333443306328,0.0,0.999777864313059
56,1.1221716889053823e-09,0.00014587600464144312,0.0,0.9998541228731869
57,5.375495604198477e-10,9.579487115285445e-05,0.0,0.9999042045912976
58,2.575004653948554e-10,6.290612628634396e-05,0.0,0.9999370936162132
59,1.233493307495337e-10,4.130841625082926e-05,0.0,0.9999586914603998
60,5.90876236827853e-11,2.712569011487087e-05,0.0,0.9999728742507975
61,2.830446987900359e-11,1.781233431563667e-05,0.0,0.9999821876373799
62,1.3558709710537187e-11,1.1696594161114682e-05,0.0,0.9999883033922802
63,6.495026738662091e-12,7.680633507090029e-06,0.0,0.9999923193599979
64,3.1112890042095387e-12,5.043523260694904e-06,0.0,0.999994956473628
65,1.4903633882568101e-12,3.311849504750164e-06,0.0,0.9999966881490049
66,7.138734048339757e-13,2.174737689930595e-06,0.0,0.9999978252615962
67,3.419486915845482e-13,1.4280485906015272e-06,0.0,0.9999985719510674
68,1.638689184346731e-13,9.377324976522772e-07,0.0,0.9999990622673385
69,7.838174553853605e-14,6.15764813249875e-07,0.0,0.9999993842351084
70,3.752553823233029e-14,4.0434373260733736e-07,0.0,0.9999995956562299
71,1.7985612998927536e-14,2.6551345133629667e-07,0.0,0.9999997344865307
72,8.659739592076221e-15,1.74350146320279e-07,0.0,0.999999825649845
73,4.218847493575595e-15,1.1448750436571231e-07,0.0,0.9999998855124914
74,1.9984014443252818e-15,7.517853373162353e-08,0.0,0.9999999248214643
75,8.881784197001252e-16,4.936618958062411e-08,0.0,0.9999999506338095
76,4.440892098500626e-16,3.241644297435897e-08,0.0,0.9999999675835566
77,2.220446049250313e-16,2.1286345353033198e-08,0.0,0.9999999787136544
78,0.0,1.3977736523784756e-08,0.0,0.9999999860222635
79,0.0,9.178518722841034e-09,0.0,0.9999999908214813
80,0.0,6.027099264116487e-09,0.0,0.9999999939729007
81,0.0,3.957711047775092e-09,0.0,0.999999996042289
82,0.0,2.5988415863764658e-09,0.0,0.9999999974011584
83,0.0,1.7065364676938088e-09,0.0,0.9999999982934635
84,0.0,1.1206018335485624e-09,0.0,0.9999999988793982
85,0.0,7.35846272803542e-10,0.0,0.9999999992641537
86,0.0,4.831954836248542e-10,0.0,0.9999999995168045
87,0.0,3.172915263860432e-10,0.0,0.9999999996827085
88,0.0,2.0835044800548985e-10,0.0,0.9999999997916496
89,0.0,1.3681389354758267e-10,0.0,0.9999999998631861
90,0.0,8.983924715266767e-11,0.0,0.9999999999101608
91,0.0,5.899303268108724e-11,0.0,0.999999999941007
92,0.0,3.873790177522096e-11,0.0,0.9999999999612621
93,0.0,2.5437429940211587e-11,0.0,0.9999999999745626
94,0.0,1.6703527450090405e-11,0.0,0.9999999999832965
95,0.0,1.0968337349481772e-11,0.0,0.9999999999890317
96,0.0,7.2024608499532405e-12,0.0,0.9999999999927975
97,0.0,4.729550084903167e-12,0.0,0.9999999999952704
98,0.0,3.105737889086413e-12,0.0,0.9999999999968943
99,0.0,2.0392576516314875e-12,0.0,0.9999999999979607
100,0.0,1.3391510123028638e-12,0.0,0.9999999999986608
