Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,0.9999949411882619,5.05818159404711e-06,0.0,1.4063837061912322e-09,0.0,0.0,1.3548844389442936e-08
1,0.9999477324363971,5.225119094020012e-05,0.0,1.921507039751272e-08,0.0,0.0,3.361950255819306e-08
2,0.9995885716441945,0.0004111100944217721,1.0155703608376014e-07,2.167021660840534e-07,0.0,0.0,8.135238207711348e-08
3,0.9975241730831639,0.0024711911421285075,2.616767694383248e-06,2.018983791380995e-06,0.0,0.0,1.9198006426533127e-07
4,0.9885570748145415,0.01139222303428951,3.514584527563188e-05,1.5556085618788004e-05,0.0,0.0,4.418420582434371e-07
5,0.9591150279132181,0.04046745642829727,0.00031826487053335646,9.924892546959282e-05,0.0,0.0,9.917966682871958e-07
6,0.8860295794529077,0.1113723889214888,0.0020728283803009835,0.0005251892043033345,0.0,0.0,2.1714212029901406e-06
7,0.7488428469623578,0.2388795006437181,0.009967764300738114,0.0023097936827769505,0.0,0.0,4.637182869423445e-06
8,0.5540994202962679,0.4015261344007339,0.03590808695490452,0.008465791955730285,0.0,1.559947366026149e-06,9.660016468475596e-06
9,0.34501958986897474,0.5310869482516967,0.09794063029326772,0.025949798549913666,0.0,8.78173622382683e-06,1.963097526993383e-05
10,0.1752475870418726,0.5536387691868991,0.2042630677614991,0.06683607090420822,0.0,2.9969371239455854e-05,3.892023368595005e-05
11,0.07099011914199327,0.4541884497928093,0.3292036611477311,0.14555578173081252,0.0,8.466807533907078e-05,7.528532304800041e-05
12,0.022573409942438172,0.291925529653437,0.41495585911508276,0.27030830700647573,0.0,0.00021363444274920284,0.00014209576485377647
13,0.00557262676726622,0.14606598634324142,0.4146428390261374,0.4329082681818297,5.2338469783733046e-05,0.0004962279742880742,0.000261713237453441
14,0.001059810323539856,0.056484900039896924,0.33321660138160847,0.6067555077850502,0.0009356084555585099,0.0010771524910225762,0.00047041952332349605
15,0.0001544224245138004,0.01676372825130501,0.21835653486504414,0.7578982185630868,0.0037981254931214008,0.002203682666091326,0.0008252877368375673
16,1.7170026699764307e-05,0.0037945218071183673,0.11802876655502925,0.8612935631873391,0.011181194871127021,0.004271479513674907,0.0014133040390115629
17,1.4525293756673108e-06,0.0006516720013731714,0.05303644502401372,0.9087960296772561,0.02727972380186105,0.00787185676862829,0.002362820197492006
18,9.32829337108032e-08,8.455949162722298e-05,0.01988694457957796,0.9047141642220732,0.05763081544141422,0.0138264118092605,0.0038570111731131658
19,4.540012588094555e-09,8.262558083282912e-06,0.0062262269333016595,0.8568629977827655,0.10756593049489059,0.02318816792264626,0.006148409768300134
20,1.6722701001725682e-10,6.06392774660236e-07,0.0016254959602737262,0.7721585500376209,0.17945739543986056,0.03718513042230012,0.00957282157994308
21,4.656830476790219e-12,3.335748144372985e-08,0.000353162487732539,0.6581552246984504,0.26984505418522686,0.057086441898155066,0.014560083368296842
22,9.792167077193881e-14,1.3731960013529942e-09,6.3723178171049e-05,0.5260175177521413,0.368294342787819,0.0839860276633931,0.02163838724518162
23,1.5543122344752192e-15,4.224898209059802e-11,9.53169418005384e-06,0.3906691840179096,0.45936952453863933,0.11852327260981899,0.03142848709720148
24,0.0,9.705569681273118e-13,1.180169434844558e-06,0.26745537148515597,0.5273297595376674,0.1605893951720922,0.044624293634679124
25,0.0,1.6653345369377348e-14,1.2080776090606093e-07,0.16764902616852084,0.5613017690111779,0.20909171294390194,0.06195737106862176
26,0.0,2.220446049250313e-16,1.0214001422426122e-08,0.09569639849737288,0.5583044455939995,0.2618543778161617,0.08414476787846425
27,0.0,0.0,7.126895740228179e-10,0.049528455345550504,0.5229337084687062,0.315715496482648,0.11182233899040572
28,0.0,0.0,4.1013081819585295e-11,0.023162709985165564,0.4645309194483753,0.3668374795750683,0.14546889095037774
29,0.0,0.0,1.945443806050662e-12,0.00976154791039019,0.3937179730428857,0.41119096050282705,0.18532951854195162
30,0.0,0.0,7.605027718682322e-14,0.003699156525313829,0.31983113916308303,0.44512102575381696,0.23134867855771013
31,0.0,0.0,2.4424906541753444e-15,0.0012583117548988776,0.24974111637973273,0.46587640075135295,0.283124171114013
32,0.0,0.0,1.1102230246251565e-16,0.00038367842342634795,0.18773602092656005,0.47198849533631715,0.33989180531369634
33,0.0,0.0,0.0,0.0001047479188299727,0.13592216674763502,0.46342603499464197,0.40054705033889304
34,0.0,0.0,0.0,2.5580940520630868e-05,0.09476086907169268,0.4415087071956221,0.4637048427921646
35,0.0,0.0,0.0,5.5839951149661005e-06,0.06358130322292055,0.40862029655079424,0.5277928162311702
36,0.0,0.0,0.0,1.0888075396842112e-06,0.041030303852839234,0.36780091062659204,0.591167696713029
37,0.0,0.0,0.0,1.8953947245048397e-07,0.025448780570619167,0.32231039912438664,0.6522406307655217
38,0.0,0.0,0.0,2.944365373735991e-08,0.01516176272941483,0.2752425576843348,0.7095956501425966
39,0.0,0.0,0.0,4.079976467785684e-09,0.008671917481212543,0.22924139917081776,0.7620866792679932
40,0.0,0.0,0.0,5.041410622297349e-10,0.004759422581232742,0.1863383886775507,0.8089021882370755
41,0.0,0.0,0.0,5.553280058023802e-11,0.0025054406796483075,0.1479025847202412,0.8495919745445777
