Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
30.0,0.9999998679582679,1.3204173170632433e-07,3.7326073463056987e-16,4.2851119153865717e-33,0.0,0.0,3.450091697567408e-47
30.1,0.9999997255391887,2.744608097789254e-07,1.4924648475458026e-15,5.377127298906859e-32,0.0,0.0,2.9185701410434317e-46
30.2,0.9999994400802715,5.599197226744427e-07,5.7978232913963124e-15,6.451560614154788e-31,0.0,0.0,2.415311816200008e-45
30.3,0.9999988788582783,1.1211416998253772e-06,2.188278298281337e-14,7.40134172402611e-30,0.0,0.0,1.955423354506249e-44
30.4,0.99999779657389,2.203426029777341e-06,8.024629114458776e-14,8.118812288805293e-29,0.0,0.0,1.548723494053749e-43
30.5,0.9999957493574202,4.250642293910477e-06,2.8591757239411937e-13,8.515621616859183e-28,0.0,0.0,1.199978538821621e-42
30.6,0.9999919509476298,8.049051380310324e-06,9.898271459049761e-13,8.540587897154402e-27,0.0,0.0,9.09579393930542e-42
30.7,0.9999850381226859,1.4961873984542686e-05,3.329586235712737e-12,8.190545041283399e-26,0.0,0.0,6.744913127821182e-41
30.8,0.9999726978428058,2.730214631129953e-05,1.0882883291071102e-11,7.511002116092103e-25,0.0,0.0,4.893074487137922e-40
30.9,0.9999510900611434,4.8909904292075556e-05,3.4564602791411535e-11,6.586425863002916e-24,0.0,0.0,3.4726271366120634e-39
31.0,0.9999139783402817,8.602155304268223e-05,1.0667555667385586e-10,5.523009327214685e-23,0.0,0.0,2.4110516985248667e-38
31.1,0.9998514570756741,0.00014854260439454666,3.199312722214513e-10,4.428773130735143e-22,0.0,0.0,1.6376766233755266e-37
31.2,0.9997481428371996,0.0002518562303612849,9.324390958304177e-10,3.3961033323374525e-21,0.0,0.0,1.088239023657999e-36
31.3,0.9995806838805843,0.00041931347840100863,2.641014736324683e-09,2.4904440835595983e-20,0.0,0.0,7.074508320374575e-36
31.4,0.9993144444520672,0.0006855482781174188,7.269815363827016e-09,1.7465471749764824e-19,0.0,0.0,4.4993045996611026e-35
31.5,0.9988992494039344,0.0011007311471692715,1.9448896364047747e-08,1.1713893382769881e-18,0.0,0.0,2.7994524207323646e-34
31.6,0.9982641411296737,0.001735808299077033,5.057124926646976e-08,7.513634889596013e-18,0.0,0.0,1.7040439408814955e-33
31.7,0.9973112150779131,0.002688657110837286,1.2781124958646982e-07,4.609331613004112e-17,0.0,2.845019289430132e-34,1.0147755280850438e-32
31.8,0.99590876805871,0.004090917953854623,3.139874351075369e-07,2.7044367023072697e-16,0.0,2.560489971282473e-32,5.912106188080374e-32
31.9,0.993884213096053,0.00611503708554702,7.498183984435481e-07,1.5176775157739123e-15,0.0,3.3010340216496917e-31,3.3697611120427236e-31
32.0,0.9910174715993209,0.00898078769511692,1.7407055540996534e-06,8.146287631818286e-15,0.0,3.2126515786889925e-30,1.8790672019025296e-30
32.1,0.987035819071432,0.012960252246987805,3.928681538382065e-06,4.1824650437024285e-14,0.0,2.742613701526256e-29,1.0251172559660783e-29
32.2,0.9816113897775344,0.018379989376510645,8.620845749587314e-06,2.054060111840868e-13,0.0,2.1557470775668552e-28,5.471351273295853e-29
32.3,0.9743626814108335,0.02561892500536309,1.8393582838490295e-05,9.64982380727141e-13,0.0,1.594091979360923e-27,2.8569808644836524e-28
32.4,0.9648613801440323,0.03510045786328864,3.816198834223232e-05,4.336801613551338e-12,0.0,1.1214942329565272e-26,1.4595321696518295e-27
32.5,0.9526455933492113,0.04727740819444087,7.699843770189018e-05,1.864591578303137e-11,0.0,7.555515989550292e-26,7.29483750044555e-27
32.6,0.9372400968363824,0.06260880436818049,0.00015109871873918965,7.66979243174452e-11,0.0,4.893790177024414e-25,3.5670998351617304e-26
32.7,0.9181834773539446,0.08152811032266342,0.0002884120215409018,3.018511579533713e-10,0.0,3.0553022878770593e-24,1.7065332883933886e-25
32.8,0.8950611291875566,0.10440333210065186,0.0005355375751143528,1.1366771353633687e-09,0.0,1.8417537753526012e-23,7.987601210149254e-25
32.9,0.8675420481285738,0.1314904590227626,0.0009674887528095715,4.095854047728071e-09,0.0,1.0732070985202824e-22,3.6578209162187596e-24
33.0,0.8354164042950838,0.16288282440758373,0.001700757173728771,1.412360377780047e-08,0.0,6.050107797789801e-22,1.6388356435916368e-23
33.1,0.7986301407026506,0.1984601249719855,0.0029096877159287297,4.6609435155885866e-08,0.0,3.3015742158584675e-21,7.183859086482739e-23
33.2,0.7573125065470385,0.23784191681654088,0.004845429416607825,1.4721981278484897e-07,0.0,1.7447709897037872e-20,3.081004295449271e-22
