Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.9523049725773804,0.04769502742261952,0.0,0.0,0.0,0.0,0.0
31,0.8998945504367999,0.10010544956320014,0.0,0.0,0.0,0.0,0.0
32,0.8474841282962192,0.15251587170378075,0.0,0.0,0.0,0.0,0.0
33,0.7950737061556387,0.20492629384436137,0.0,0.0,0.0,0.0,0.0
34,0.742663284015058,0.25733671598494195,0.0,0.0,0.0,0.0,0.0
35,0.6902528618744774,0.30974713812552257,0.0,0.0,0.0,0.0,0.0
36,0.6378424397338969,0.3621575602661032,0.0,0.0,0.0,0.0,0.0
37,0.5854320175933162,0.4145679824066838,0.0,0.0,0.0,0.0,0.0
38,0.5330215954527355,0.4669784045472644,0.0,0.0,0.0,0.0,0.0
39,0.48061117331215497,0.519388826687845,0.0,0.0,0.0,0.0,0.0
40,0.4282007511715744,0.5696232031712894,0.002176045657136166,0.0,0.0,0.0,0.0
41,0.37579032903099374,0.5704008051072446,0.05380886586176174,0.0,0.0,0.0,0.0
42,0.3233799068904132,0.5711784070431996,0.10544168606638732,0.0,0.0,0.0,0.0
43,0.2709694847498325,0.5719560089791547,0.15707450627101288,0.0,0.0,0.0,0.0
