Value,Below normal - severe concern,Below normal - moderate concern,Below normal - mild concern,No concern,Above normal - mild concern,Above normal - moderate concern,Above normal - severe concern
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9351271078749815,0.06487289212501841,0.0,0.0,0.0,0.0,0.0
6,0.8014201990608221,0.19857980093917796,0.0,0.0,0.0,0.0,0.0
7,0.6677132902466625,0.3322867097533375,0.0,0.0,0.0,0.0,0.0
8,0.5340063814325029,0.39150249002951243,0.07449112853798459,0.0,0.0,0.0,0.0
9,0.4002994726183434,0.3886360504894444,0.19704352346147377,0.01402095343073842,0.0,0.0,0.0
10,0.26659256380418384,0.3857696109493764,0.2225542891783404,0.12508353606809938,0.0,0.0,0.0
11,0.13288565499002436,0.3829031714093083,0.24806505489520703,0.23614611870546032,0.0,0.0,0.0
12,0.0,0.379215478045105,0.2735758206120737,0.3472087013428213,0.0,0.0,0.0
13,0.0,0.2426421296908774,0.29908658632894036,0.45827128398018224,0.0,0.0,0.0
14,0.0,0.10606878133664988,0.324597352045807,0.5693338666175431,0.0,0.0,0.0
15,0.0,0.0,0.31960355074509583,0.6803964492549042,0.0,0.0,0.0
16,0.0,0.0,0.20854096810773493,0.7914590318922651,0.0,0.0,0.0
17,0.0,0.0,0.09747838547037391,0.8475938259311482,0.054927788598477946,0.0,0.0
18,0.0,0.0,0.0,0.8593289011871976,0.14067109881280238,0.0,0.0
19,0.0,0.0,0.0,0.7735855909728733,0.1990731277378289,0.027341281289297893,0.0
20,0.0,0.0,0.0,0.6878422807585488,0.23144179151811187,0.08071592772333933,0.0
21,0.0,0.0,0.0,0.6020989705442243,0.2638104552983949,0.13409057415738074,0.0
22,0.0,0.0,0.0,0.5163556603299,0.2961791190786779,0.18746522059142218,0.0
23,0.0,0.0,0.0,0.4306123501155755,0.3285477828589609,0.20589040295826677,0.0349494640671968
24,0.0,0.0,0.0,0.34486903990125106,0.36091644663924394,0.21905828141810782,0.07515623204139718
25,0.0,0.0,0.0,0.2591257296869267,0.39328511041952685,0.23222615987794887,0.11536300001559756
26,0.0,0.0,0.0,0.17338241947260224,0.4256537741998099,0.24539403833778994,0.15556976798979794
27,0.0,0.0,0.0,0.08763910925827778,0.4580224379800929,0.25856191679763096,0.19577653596399833
28,0.0,0.0,0.0,0.0018957990439534278,0.4903911017603758,0.2717297952574721,0.2359833039381987
29,0.0,0.0,0.0,0.0,0.4389122543702878,0.2848976737173131,0.2761900719123991
30,0.0,0.0,0.0,0.0,0.38553760793624636,0.2980655521771542,0.31639683988659945
31,0.0,0.0,0.0,0.0,0.33216296150220503,0.31123343063699516,0.3566036078607998
32,0.0,0.0,0.0,0.0,0.2787883150681636,0.3244013090968362,0.39681037583500023
33,0.0,0.0,0.0,0.0,0.22541366863412216,0.33756918755667725,0.4370171438092006
34,0.0,0.0,0.0,0.0,0.17203902220008072,0.35073706601651833,0.47722391178340096
35,0.0,0.0,0.0,0.0,0.11866437576603928,0.36390494447635935,0.5174306797576014
36,0.0,0.0,0.0,0.0,0.06528972933199784,0.3770728229362005,0.5576374477318017
37,0.0,0.0,0.0,0.0,0.011915082897956397,0.3902407013960415,0.5978442157060021
38,0.0,0.0,0.0,0.0,0.0,0.3619490163197975,0.6380509836802025
39,0.0,0.0,0.0,0.0,0.0,0.32174224834559717,0.6782577516544028
40,0.0,0.0,0.0,0.0,0.0,0.28153548037139675,0.7184645196286032
41,0.0,0.0,0.0,0.0,0.0,0.24132871239719633,0.7586712876028037
42,0.0,0.0,0.0,0.0,0.0,0.20112194442299602,0.798878055577004
43,0.0,0.0,0.0,0.0,0.0,0.1609151764487956,0.8390848235512044
44,0.0,0.0,0.0,0.0,0.0,0.1207084084745953,0.8792915915254047
45,0.0,0.0,0.0,0.0,0.0,0.08050164050039488,0.9194983594996051
46,0.0,0.0,0.0,0.0,0.0,0.04029487252619446,0.9597051274738055
47,0.0,0.0,0.0,0.0,0.0,8.810455199415035e-05,0.9999118954480058
48,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,0.0,0.0,0.0,0.0,0.0,0.0,1.0
