system,threshold,tp,fn,tp_over_tp_fn
NEWS-2,0.0,36776,0,1.0
NEWS-2,1.0,28772,8004,0.7823580596040897
NEWS-2,2.0,22183,14593,0.6031922993256471
NEWS-2,3.0,17244,19532,0.4688927561453122
NEWS-2,4.0,13049,23727,0.3548237981292147
NEWS-2,5.0,10247,26529,0.2786328040026104
NEWS-2,6.0,8851,27925,0.24067326517293888
NEWS-2,7.0,7849,28927,0.2134272351533609
NEWS-2,8.0,5309,31467,0.14436045246900153
NEWS-2,9.0,3368,33408,0.09158146617359147
NEWS-2,10.0,1954,34822,0.053132477702849686
NEWS-2,11.0,1055,35721,0.02868718729606265
NEWS-2,12.0,532,36244,0.01446595605829889
NEWS-2,13.0,267,36509,0.007260169675875571
NEWS-2,14.0,135,36641,0.003670872308026974
NEWS-2,15.0,51,36725,0.0013867739830324124
NEWS-2,16.0,20,36756,0.0005438329345225147
NEWS-2,17.0,8,36768,0.00021753317380900588
NEWS-2,18.0,5,36771,0.00013595823363062867
NEWS-2,19.0,1,36775,2.7191646726125735e-05
NEWS-2,20.0,0,36776,0.0
Snapshot Fuzzy EWS,0.0,36776,0,1.0
Snapshot Fuzzy EWS,0.5,36776,0,1.0
Snapshot Fuzzy EWS,1.0,36176,600,0.9836850119643246
Snapshot Fuzzy EWS,1.5,34061,2715,0.9261746791385687
Snapshot Fuzzy EWS,2.0,29772,7004,0.8095497063302154
Snapshot Fuzzy EWS,2.5,24553,12223,0.6676365020665651
Snapshot Fuzzy EWS,3.0,19427,17349,0.5282521209484446
Snapshot Fuzzy EWS,3.5,15021,21755,0.4084457254731347
Snapshot Fuzzy EWS,4.0,11251,25525,0.30593321731564066
Snapshot Fuzzy EWS,4.5,8366,28410,0.2274853165107679
Snapshot Fuzzy EWS,5.0,6161,30615,0.16752773547966066
Snapshot Fuzzy EWS,5.5,4487,32289,0.12200891886012617
Snapshot Fuzzy EWS,6.0,3162,33614,0.08597998694800957
Snapshot Fuzzy EWS,6.5,2101,34675,0.057129649771590164
Snapshot Fuzzy EWS,7.0,1396,35380,0.03795953882967153
Snapshot Fuzzy EWS,7.5,876,35900,0.023819882532086143
Snapshot Fuzzy EWS,8.0,541,36235,0.014710680878834021
Snapshot Fuzzy EWS,8.5,295,36481,0.008021535784207091
Snapshot Fuzzy EWS,9.0,162,36614,0.004405046769632369
Snapshot Fuzzy EWS,9.5,80,36696,0.0021753317380900587
Snapshot Fuzzy EWS,10.0,41,36735,0.001114857515771155
Snapshot Fuzzy EWS,10.5,19,36757,0.0005166412877963889
Snapshot Fuzzy EWS,11.0,11,36765,0.0002991081139873831
Snapshot Fuzzy EWS,11.5,6,36770,0.0001631498803567544
Snapshot Fuzzy EWS,12.0,4,36772,0.00010876658690450294
Snapshot Fuzzy EWS,12.5,3,36773,8.15749401783772e-05
Snapshot Fuzzy EWS,13.0,1,36775,2.7191646726125735e-05
Snapshot Fuzzy EWS,13.5,1,36775,2.7191646726125735e-05
Snapshot Fuzzy EWS,14.0,1,36775,2.7191646726125735e-05
Snapshot Fuzzy EWS,14.5,0,36776,0.0
Snapshot Fuzzy EWS,15.0,0,36776,0.0
Snapshot Fuzzy EWS,15.5,0,36776,0.0
Snapshot Fuzzy EWS,16.0,0,36776,0.0
Snapshot Fuzzy EWS,16.5,0,36776,0.0
Snapshot Fuzzy EWS,17.0,0,36776,0.0
Snapshot Fuzzy EWS,17.5,0,36776,0.0
Snapshot Fuzzy EWS,18.0,0,36776,0.0
Temporal Builder,0.0,36776,0,1.0
Temporal Builder,0.5,36776,0,1.0
Temporal Builder,1.0,36776,0,1.0
Temporal Builder,1.5,36366,410,0.9888514248422885
Temporal Builder,2.0,34255,2521,0.931449858603437
Temporal Builder,2.5,30487,6289,0.8289917337393953
Temporal Builder,3.0,26759,10017,0.7276212747443985
Temporal Builder,3.5,23380,13396,0.6357407004568196
Temporal Builder,4.0,19985,16791,0.5434250598216228
Temporal Builder,4.5,16563,20213,0.45037524472482054
Temporal Builder,5.0,13294,23482,0.3614857515771155
Temporal Builder,5.5,10414,26362,0.2831738090058734
Temporal Builder,6.0,7899,28877,0.2147868174896672
Temporal Builder,6.5,5832,30944,0.1585816837067653
Temporal Builder,7.0,4315,32461,0.11733195562323254
Temporal Builder,7.5,3061,33715,0.08323363062867087
Temporal Builder,8.0,2153,34623,0.058543615401348705
Temporal Builder,8.5,1432,35344,0.03893843811181205
Temporal Builder,9.0,896,35880,0.02436371546660866
Temporal Builder,9.5,536,36240,0.014574722645203394
Temporal Builder,10.0,298,36478,0.008103110724385468
Temporal Builder,10.5,155,36621,0.004214705242549489
Temporal Builder,11.0,69,36707,0.0018762236241026756
Temporal Builder,11.5,30,36746,0.000815749401783772
Temporal Builder,12.0,13,36763,0.00035349140743963454
Temporal Builder,12.5,8,36768,0.00021753317380900588
Temporal Builder,13.0,4,36772,0.00010876658690450294
Temporal Builder,13.5,2,36774,5.438329345225147e-05
Temporal Builder,14.0,1,36775,2.7191646726125735e-05
Temporal Builder,14.5,1,36775,2.7191646726125735e-05
Temporal Builder,15.0,0,36776,0.0
Temporal Builder,15.5,0,36776,0.0
Temporal Builder,16.0,0,36776,0.0
Temporal Builder,16.5,0,36776,0.0
Temporal Builder,17.0,0,36776,0.0
Temporal Builder,17.5,0,36776,0.0
Temporal Builder,18.0,0,36776,0.0
